Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
SH2-71;PN;19:01:00;+02:09:23;Aql;2.50;1.30;;;;;;;;;;;;;;;;;;;;;SH 2-71, Sh 2-71, Sharpless 71;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-72;HII;19:03:50.38;+02:18:50.03;Aql;25.00;;;;;;;;;;;;;;;;;;;;;;SH 2-72, Sh 2-72, Sharpless 72;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-73;Other;16:11:07.63;+21:52:26.4;Her;75.00;;;;;;;;;;;;;;;;;;;;;;SH 2-73, Sh 2-73, Sharpless 73;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-74;HII;19:08:49.02;+05:36:32.4;Aql;3.00;;;;;;;;;;;;;;;;;;;;;;SH 2-74, Sh 2-74, Sharpless 74;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-75;HII;18:59:15.39;+07:07:12.04;Aql;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-75, Sh 2-75, Sharpless 75;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-76;HII;18:56:25.74;+07:48:48.14;Aql;7.00;;;;;;;;;;;;;;;;;;;;;;SH 2-76, Sh 2-76, Sharpless 76;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-77;HII;19:48:17.28;+01:08:52.52;Aql;8.00;;;;;;;;;;;;;;;;;;;;;;SH 2-77, Sh 2-77, Sharpless 77;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-78;PN;19:03:08;+14:06:58;Aql;27.00;27.00;;;14;;;;;;;;;;;;;;;;;;SH 2-78, Sh 2-78, Sharpless 78;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|V-Mag:2|Identifiers:2
SH2-79;HII;19:23:18.44;+13:58:33.91;Aql;40.00;;;;;;;;;;;;;;;;;;;;;;SH 2-79, Sh 2-79, Sharpless 79;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-80;PN;19:11:30.88;+16:51:38.2;Sge;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-80, Sh 2-80, Sharpless 80;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-81;HII;20:01:13.48;+11:47:33.73;Aql;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-81, Sh 2-81, Sharpless 81;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-82;HII;19:30:14.9;+18:17:30;Sge;9.00;;;;;;;;;;;;;;;;;;;;;;SH 2-82, Sh 2-82, Sharpless 82;Little Cocoon Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-83;HII;19:24:32.15;+20:47:45.09;Vul;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-83, Sh 2-83, Sharpless 83;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
