Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
SH2-133;HII;21:28:59.95;+64:18:18.76;Cep;80.00;;;;;;;;;;;;;;;;;;;;;;SH 2-133, Sh 2-133, Sharpless 133;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-134;HII;22:11:29.88;+59:24:37.17;Cep;160.00;;;;;;;;;;;;;;;;;;;;;;SH 2-134, Sh 2-134, Sharpless 134;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-135;HII;22:22:11.65;+58:44:18.13;Cep;15.00;;;;;;;;;;;;;;;;;;;;;;SH 2-135, Sh 2-135, Sharpless 135;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-136;RfN;21:16:29.68;+68:15:11.38;Cep;5.00;;;;;;;;;;;;;;;;;;;;;;SH 2-136, Sh 2-136, Sharpless 136;Ghost Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-137;HII;21:57:07.16;+64:41:37.09;Cep;90.00;;;;;;;;;;;;;;;;;;;;;;SH 2-137, Sh 2-137, Sharpless 137;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-138;HII;22:32:39.53;+58:28:54.48;Cep;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-138, Sh 2-138, Sharpless 138;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-139;HII;22:35:00.38;+58:13:02.1;Cep;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-139, Sh 2-139, Sharpless 139;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-140;HII;22:19:07.84;+63:17:07.36;Cep;30.00;;;;;;;;;;;;;;;;;;;;;;SH 2-140, Sh 2-140, Sharpless 140;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-141;HII;22:28:30.46;+61:38:40.83;Cep;5.00;;;;;;;;;;;;;;;;;;;;;;SH 2-141, Sh 2-141, Sharpless 141;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-143;HII;22:50:14.92;+57:42:46.95;Cep;4.00;;;;;;;;;;;;;;;;;;;;;;SH 2-143, Sh 2-143, Sharpless 143;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-144;HII;22:44:52.17;+59:53:32.19;Cep;4.00;;;;;;;;;;;;;;;;;;;;;;SH 2-144, Sh 2-144, Sharpless 144;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-145;HII;22:25:33.63;+64:18:30.91;Cep;90.00;;;;;;;;;;;;;;;;;;;;;;SH 2-145, Sh 2-145, Sharpless 145;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-146;HII;22:49:26.34;+59:55:44.9;Cep;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-146, Sh 2-146, Sharpless 146;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-147;HII;22:55:29.7;+58:28:00.53;Cep;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-147, Sh 2-147, Sharpless 147;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-148;HII;22:56:12.21;+58:31:02.28;Cep;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-148, Sh 2-148, Sharpless 148;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-149;HII;22:56:24.36;+58:32:02.78;Cep;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-149, Sh 2-149, Sharpless 149;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-150;HII;22:31:11.94;+65:06:50.36;Cep;40.00;;;;;;;;;;;;;;;;;;;;;;SH 2-150, Sh 2-150, Sharpless 150;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-151;HII;23:03:03.35;+57:04:18.24;Cas;20.00;;;;;;;;;;;;;;;;;;;;;;SH 2-151, Sh 2-151, Sharpless 151;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-152;HII;22:58:37.78;+58:47:08.15;Cas;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-152, Sh 2-152, Sharpless 152;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-153;HII;22:59:14.45;+58:44:09.59;Cas;5.00;;;;;;;;;;;;;;;;;;;;;;SH 2-153, Sh 2-153, Sharpless 153;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-154;HII;22:51:24.63;+61:10:50.23;Cep;60.00;;;;;;;;;;;;;;;;;;;;;;SH 2-154, Sh 2-154, Sharpless 154;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-155;HII;22:56:43.78;+62:37:03.78;Cep;50.00;30.00;;;7.7;;;;;;;;;;;;;;;;;;SH 2-155, Sh 2-155, Sharpless 155;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|V-Mag:2|Identifiers:2
SH2-157;HII;23:16:03.57;+60:02:43.98;Cas;90.00;;;;;;;;;;;;;;;;;;;;;;SH 2-157, Sh 2-157, Sharpless 157;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-159;HII;23:15:43.15;+61:08:43.42;Cas;7.00;;;;;;;;;;;;;;;;;;;;;;SH 2-159, Sh 2-159, Sharpless 159;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-160;HII;23:05:47.69;+64:40:24.46;Cep;80.00;;;;;;;;;;;;;;;;;;;;;;SH 2-160, Sh 2-160, Sharpless 160;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-161;HII;23:15:29.47;+61:51:43.04;Cas;55.00;;;;;;;;;;;;;;;;;;;;;;SH 2-161, Sh 2-161, Sharpless 161;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-163;HII;23:33:19.6;+60:47:08.42;Cas;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-163, Sh 2-163, Sharpless 163;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-164;HII;23:38:25.57;+59:58:13.5;Cas;3.00;;;;;;;;;;;;;;;;;;;;;;SH 2-164, Sh 2-164, Sharpless 164;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-165;HII;23:39:49.08;+61:56:14.73;Cas;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-165, Sh 2-165, Sharpless 165;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-166;HII;23:42:10.44;+60:58:16.63;Cas;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-166, Sh 2-166, Sharpless 166;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-167;HII;23:35:22.47;+64:51:10.61;Cep;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-167, Sh 2-167, Sharpless 167;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-168;HII;23:53:03.82;+60:28:22.73;Cas;7.00;;;;;;;;;;;;;;;;;;;;;;SH 2-168, Sh 2-168, Sharpless 168;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-169;HII;23:53:58.78;+60:22:23.04;Cas;5.00;;;;;;;;;;;;;;;;;;;;;;SH 2-169, Sh 2-169, Sharpless 169;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-170;HII;00:01:29;+64:39:03;Cas;56.00;50.00;;;;;;;;;;;;;;;;;;;;;SH 2-170, Sh 2-170, Sharpless 170;Little Rosette Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-171;HII;00:04:40.26;+67:09:24.31;Cep;180.00;;;;;;;;;;;;;;;;;;;;;;SH 2-171, Sh 2-171, Sharpless 171;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-172;HII;00:15:32.93;+61:15:21.25;Cas;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-172, Sh 2-172, Sharpless 172;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-173;HII;00:21:51.89;+61:44:17.43;Cas;30.00;;;;;;;;;;;;;;;;;;;;;;SH 2-173, Sh 2-173, Sharpless 173;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-174;PN;23:46:49.26;+80:56:19.92;Cep;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-174, Sh 2-174, Sharpless 174;Valentine Rose Nebula;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-175;HII;00:27:19.21;+64:42:12.95;Cas;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-175, Sh 2-175, Sharpless 175;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-176;PN;00:31:39.27;+57:17:08.53;Cas;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-176, Sh 2-176, Sharpless 176;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-177;HII;00:31:33.08;+62:28:08.68;Cas;40.00;;;;;;;;;;;;;;;;;;;;;;SH 2-177, Sh 2-177, Sharpless 177;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-178;RfN;22:18:56.25;+87:45:41.76;UMi;420.00;;;;;;;;;;;;;;;;;;;;;;SH 2-178, Sh 2-178, Sharpless 178;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-179;HII;00:40:25.4;+62:51:57.61;Cas;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-179, Sh 2-179, Sharpless 179;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-180;HII;00:48:46.69;+62:55:44.53;Cas;15.00;;;;;;;;;;;;;;;;;;;;;;SH 2-180, Sh 2-180, Sharpless 180;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-181;HII;00:49:16.67;+65:12:43.74;Cas;15.00;;;;;;;;;;;;;;;;;;;;;;SH 2-181, Sh 2-181, Sharpless 181;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-182;HII;00:50:16.67;+64:44:41.97;Cas;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-182, Sh 2-182, Sharpless 182;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-183;HII;00:53:59.81;+65:42:35.16;Cas;35.00;;;;;;;;;;;;;;;;;;;;;;SH 2-183, Sh 2-183, Sharpless 183;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-185;HII;01:00:00.02;+60:59:22.84;Cas;120.00;120.00;;;;;;;;;;;;;;;;;;;;;SH 2-185, Sh 2-185, Sharpless 185;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-186;HII;01:08:51.11;+63:08:02.66;Cas;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-186, Sh 2-186, Sharpless 186;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-187;HII;01:23:07.77;+61:51:23.93;Cas;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-187, Sh 2-187, Sharpless 187;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-188;PN;17:58:10;-31:42:55;Cas;9.00;;;;;;;;;;;;;;;;;;;;;;SH 2-188, Sh 2-188, Sharpless 188;Firefox Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-189;PN;02:12:08.55;+64:10:18.11;Cas;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-189, Sh 2-189, Sharpless 189;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-191;Galaxy;02:36:35.4;+59:39:19;Cas;2.00;2.00;;;;;;;;;;;;;;;;;;;;;SH 2-191, Sh 2-191, Sharpless 191;Maffei 1;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-192;HII;02:47:14.18;+61:59:16.65;Cas;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-192, Sh 2-192, Sharpless 192;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-193;HII;02:47:32.54;+62:00:14.91;Cas;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-193, Sh 2-193, Sharpless 193;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-194;HII;02:47:19.92;+61:56:16.09;Cas;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-194, Sh 2-194, Sharpless 194;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-195;NonEx;02:40:06.05;+59:38:55.79;Cas;3.00;;;;;;;;;;;;;;;;;;;;;;SH 2-195, Sh 2-195, Sharpless 195;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-196;HII;02:51:19.21;+62:13:53.3;Cas;4.00;;;;;;;;;;;;;;;;;;;;;;SH 2-196, Sh 2-196, Sharpless 196;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-197;Galaxy;02:41:55.1;+59:36:15;Cas;5.00;5.00;;;16;;;;;;;;;;;;;;;;;;SH 2-197, Sh 2-197, Sharpless 197;Maffei 2;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|V-Mag:2|Identifiers:2
SH2-198;HII;02:50:01.83;+59:41:59.96;Cas;9.00;;;;;;;;;;;;;;;;;;;;;;SH 2-198, Sh 2-198, Sharpless 198;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-199;HII;02:55:24;+60:24:36;Cas;150.00;75.00;;;6.5;;;;;;;;;;;;;;;;;;SH 2-199, Sh 2-199, Sharpless 199, Westerhout 5, W5, LBN 667;Soul Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-200;PN;03:10:45.07;+62:48:55.77;Cas;6.00;;;;;;;;;;;;;;;;;;;;;;SH 2-200, Sh 2-200, Sharpless 200;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-201;HII;03:03:10.37;+60:28:42.05;Cas;5.00;5.00;;;;;;;;;;;;;;;;;;;;;SH 2-201, Sh 2-201, Sharpless 201;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-202;HII;03:18:51.54;+59:38:02.39;Cam;170.00;;;;;;;;;;;;;;;;;;;;;;SH 2-202, Sh 2-202, Sharpless 202;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-203;HII;03:22:01.03;+54:52:40.04;Per;45.00;;;;;;;;;;;;;;;;;;;;;;SH 2-203, Sh 2-203, Sharpless 203;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-204;HII;03:55:45.65;+57:25:44.17;Cam;40.00;;;;;;;;;;;;;;;;;;;;;;SH 2-204, Sh 2-204, Sharpless 204;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-205;HII;03:56:08.17;+53:11:39.81;Cam;120.00;;;;;;;;;;;;;;;;;;;;;;SH 2-205, Sh 2-205, Sharpless 205;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-206;HII;04:03:13.08;+51:19:46.3;Per;50.00;;;;;;;;;;;;;;;;;;;;;;SH 2-206, Sh 2-206, Sharpless 206;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-207;HII;04:20:04.97;+53:08:37.17;Cam;4.00;;;;;;;;;;;;;;;;;;;;;;SH 2-207, Sh 2-207, Sharpless 207;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-208;HII;04:19:45.9;+52:58:39.59;Cam;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-208, Sh 2-208, Sharpless 208;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-209;HII;04:11:03.01;+51:09:46.61;Per;14.00;;;;;;;;;;;;;;;;;;;;;;SH 2-209, Sh 2-209, Sharpless 209;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-210;HII;04:30:59.09;+52:33:10.48;Per;20.00;;;;;;;;;;;;;;;;;;;;;;SH 2-210, Sh 2-210, Sharpless 210;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-211;HII;04:36:57.8;+50:56:21.67;Per;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-211, Sh 2-211, Sharpless 211;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-213;HII;04:20:42.97;+44:55:29.57;Per;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-213, Sh 2-213, Sharpless 213;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-214;HII;04:21:34.91;+44:22:22.61;Per;4.00;;;;;;;;;;;;;;;;;;;;;;SH 2-214, Sh 2-214, Sharpless 214;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
